Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
06/16/2026 09:00 AM ET,1146 WOODCREST LN,"$295,097.35","$197,069.00","$295,097.35",2025 CA 004347 NC,1007025438,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 004347 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/1007025438
06/16/2026 09:00 AM ET,2341 SNUG ST,"$390,130.44","$266,000.00",Hidden,2025 CA 004454 NC,0960111233,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 004454 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0960111233
06/16/2026 09:00 AM ET,133 OSPREY POINT DR,"$1,039,649.38","$1,184,370.00",Hidden,2025 CA 004696 NC,0144010011,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 004696 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0144010011
06/16/2026 09:00 AM ET,2403 HICKORY AVE,"$265,310.05","$256,800.00","$270,115.36",2025 CA 005062 NC,2006020052,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 005062 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/2006020052
06/16/2026 09:00 AM ET,408 PINEWOOD AVE,"$88,646.59","$86,500.00","$89,906.11",2026 CA 000347 NC,0403050046,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2026 CA 000347 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0403050046
06/16/2026 09:00 AM ET,2131 PALM TER,"$218,541.11","$205,018.00","$221,646.21",2026 CA 000729 NC,0075040062,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2026 CA 000729 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0075040062
06/17/2026 09:00 AM ET,,"$5,511.18",$0.00,"$5,511.18",2025 CC 007870 NC,TIMESHARE,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CC 007870 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/TIMESHARE
06/17/2026 09:00 AM ET,,"$7,821.46",$0.00,"$7,821.46",2025 CC 007878 NC,TIMESHARE,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CC 007878 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/TIMESHARE
06/18/2026 09:00 AM ET,2160 WEAVER BIRD LN,"$346,469.06","$333,838.00",Hidden,2025 CA 004453 NC,0755021381,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 004453 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0755021381
06/19/2026 09:00 AM ET,2848 HOPE ST,"$561,661.49","$231,807.00","$562,266.82",2024 CA 003282 NC,0087040024,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024 CA 003282 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0087040024
06/19/2026 09:00 AM ET,6559 SILVERSTAR DR,"$513,525.25","$369,411.00","$513,525.25",2025 CA 002592 NC,0192090025,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 002592 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0192090025
06/23/2026 09:00 AM ET,512 BOXWOOD LN,"$176,626.48","$271,900.00","$176,626.48",2025 CA 003096 NC,0492060025,https://sarasota.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025 CA 003096 NC&bypassPage=1,https://www.sc-pa.com/propertysearch/0492060025
